AC30M1464C     PM      
W/F ID:KD11051 -21  OP:     2024/10/04 17:06:30
[Y]
01                                         F//////F///F///                                        
02                                   //F/////////F/////F////F//F                                  
03                               F/F//////F//////F///////////F///FFF                              
04                            //FF/////////////////////////////////////                           
05                           ////////////F////////F////F/F///F///////F//                          
06                          /FF///F/F////////////////F///////FF///////F//                         
07                      F/////F///////////F/////////////////////////////////F                     
08                   //////F//////////////////////F/////////////////////////////                  
09                  //////////F/////////////////////////////////////////////F///F                 
10                 /F//////////////////////////////////////////F///////////////F//                
11                 ///////////////////////F////F///////F/////////////F/F/////F////                
12                 //////////////////////////F////////////////////////////////////                
13                 ////////////////////F///////////////////////////////////F//////                
14           /F/////////////F//////////F////////////////////////////////////////////////          
15          ///////F//F////////////////////////////////////////////////////////F////F////         
16         ////////F////////////////////////////////////F//////////////////////////F//////        
17        F/////////////////////////////////////////F///////////////////////////////////F//       
18        /////////////////////////////////////////////////////////////////////////////////       
19        /////F//////////F///////////////////////////////////////////////F////////////////       
20        /////////////////////////F///////////////////////////////////////////////////////       
21     F/F///F//////////////////////////////F/////////////////////////////////F///////////////    
22     /////F/////////////////////////////////////////////////////////////////////////////////    
23    /////////////////////F//////////////////F//////////////////F//////////////////////////F/F   
24    ///F/////////////////////////////////////////////////////////////////////////////////////   
25   F//F///////////////////F///////////////////////////////////////////////////////////////F//F  
26   FF//////////////////////////////////////////////////////////////F//////F////F///////////F//  
27  /F////////////////////F///////////////////////////F//////////////////////////////////////F/// 
28  //////////////////////////////////////////////////////////////////////////////////////////FF/ 
29  ///////////////////////////F///////////////////////////////////////F///////////////////////F/ 
30 //////F/////////////F///////////////////////////////////////////////////F//////////////////////
31 /F///F/////////////////////////////////////////////////////////////////////////////////////////
32 F////////////////////////////////////////////////////////////////////////////////////////////F/
33 ////////////////////////////////////////////////////////////////////////////////////////////F//
34 ///////////////////////////////F///////////////////////////////////F///////////////////////////
35 F////F///////////////////////////F////////////////////F/////////////////////////F//////////F///
36 FF///////////////////////////////////////////////////////////////////////////////////F/////F///
37 /F/////F///////////////////////////////////////////////////////////////////////////////////////
38 FFF/////////////////F//////////////////////////////////F///////////////////////////////////////
39 FF/F///////////////////F////////////////////F////F///////////////F/////////////////////////////
40 FFFFF//////////////////////////////////////////////////////////////////////////////////////////
41 //FFF//////////////////////////////////F//////////////////////////////////F////////////////////
42 /FFFFFF/////////////////////////////////////////////////////////////F//////////////////////////
43  ///FF//////F///////////////////////////////F//////F////////////////////////////////////////// 
44  //F/F/////////////////////////////////////////////////////F///////////F////////////////////// 
45  //F///////////////////////////////////F//F/////////////////////////////////////////////////// 
46   F/////////////////////////////////////////////////F//////F///////////////F/////////////////  
47   ///////////////////////////////////////////////////////////////////////////////////////////  
48    //////////////////////////////////F/////////////////////////F////////////////////////////   
49    /F////////////////////////////////F///////////////////////////F/////F////////////////////   
50     ////////F////////////F/////////////////////////////////F///F//////////F////////////////    
51     F//////////////////////////////////////////////////////F///////////////////////////////    
52      ///////////////////////////////////////////////////////F/////////////////////////////     
53       /////////////////F///////////////////////////F//////////////////F//////////////////      
54       //F///////////////////////F//////////F//////////////////////////////////////////F/F      
55        ////////////////////////////////////////////////////////F/////////////F//////////       
56         ///////////F///F////////////////////////////////////////////F////F////F///F////        
57          ///////////F/////////////////////////////////////////////////////////////////         
58           ///////////////////////////////////////////////////////////////////////////          
59            ////////////////////F//////////////////////F////////////////////////////F           
60             /////////////////////////////////////////////F////////////////////////F            
61               /////////////F////////////F////////////////////////////////////F///              
62                /////////////F/////////////////////////////////////F/////////////               
63                  /////////////F/////////////////////////////F/////////////////                 
64                   F//////////////////////////////////////////////////////////                  
65                      //////////////////////////F////////F//////////////F//                     
66                        //////F/////////////////////////////F////////////                       
67                           /////////////////F/////////////////////////                          
68                            /F///F/////////////F//////////////////FFF                           
69                                F/F///////////////////////////F/F                               
[X]----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+-
       5    10   15   20   25   30   35   40   45   50   55   60   65   70   75   80   85   90   95

TOTAL= 5225  PASS= 4996  FAIL= 229   YIELD= 95.62%
/=>4996    1=>0       2=>0       F=>229     
/:ALL PASS  1:P1 PASS   2:P2 PASS   F:ALL FAIL

